"name"	"ASASSN-13dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J09073675+0323397.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"ASASSN-13dd,PSN J09073675+0323397"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"9"
"discoveryear"	"2013"
"host"	"NGC 2765"
"maxday"	"23"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.01255"
"sndec"	"+03:23:39.7"
"snra"	"09:07:36.75"
"photometry"	"timeunit"	"MJD"	"time"	"56558.5"	"abmag"	"15.2"	"source"	"2,1"
