"name"	"SN2013fm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003661.txt'>CBET 3661</a>"	"alias"	"2"
"aliases"	"SN2013fm,PSN J07310540+5756108"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"MASTER"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"+575622"
"galra"	"073106"
"host"	"MCG +10-11-68"
"hvel"	"12727"
"maxday"	"5"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.04245"
"sndec"	"+57:56:10.8"
"snra"	"07:31:05.40"
"photometry"	"timeunit"	"MJD"	"time"	"56540.5"	"abmag"	"16.7"	"source"	"2,1"
