"name"	"SN2010gv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002400/CBET002404.txt'>CBET 2404</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010gv,Possible Supernova in galaxy in Draco"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"8"
"discoveryear"	"2010"
"galdec"	"+504733"
"galra"	"175822"
"host"	"A175822+5047"
"maxday"	"2"
"maxmonth"	"8"
"maxyear"	"2010"
"sndec"	"+50:47:34.0"
"snra"	"17:58:22.56"
"photometry"	"timeunit"	"MJD"	"time"	"55410.5"	"abmag"	"15.6"	"source"	"2,1"
