"name"	"SN2012fl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003271.txt'>CBET 3271</a>"	"alias"	"2"
"aliases"	"SN2012fl,PS1-12bwa"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"PS1"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"+005601"
"galra"	"025604"
"host"	"A025604+0056"
"hvel"	"25800"
"maxday"	"5"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.09"
"sndec"	"+00:56:01.3"
"snra"	"02:56:04.40"
"photometry"	"timeunit"	"MJD"	"time"	"56205.5"	"abmag"	"20.0"	"source"	"2,1"
