"name"	"SN2009nz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002288.txt'>CBET 2288</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nz,GRB 091127"
"claimedtype"	"Ic"
"discoverday"	"26"
"discoverer"	"BAT"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"-185709"
"galra"	"022619"
"host"	"A022619-1857"
"hvel"	"114000"
"maxday"	"26"
"maxmonth"	"11"
"maxyear"	"2009"
"redshift"	"0.49"
"sndec"	"-18:57:09"
"snra"	"02:26:19.9"
"photometry"	"timeunit"	"MJD"	"time"	"55161.5"	"abmag"	"22.6"	"source"	"2,1"
