"name"	"SN2013bu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003498.txt'>CBET 3498</a>"	"alias"	"2"
"source"	"name"	"Radu Gherase"	"alias"	"3"
"aliases"	"SN2013bu,PSN J22370217+3424052"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+342456"
"galra"	"223704"
"host"	"NGC 7331"
"hvel"	"821"
"maxday"	"23"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.002722"
"sndec"	"+34:24:05.2"
"snra"	"22:37:02.17"
"photometry"	"timeunit"	"MJD"	"time"	"56435.5"	"abmag"	"15.9"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56509.96"	"band"	"V"	"abmag"	"19.0"	"source"	"3,1"
