"name"	"SN2000ai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07300/07387.html#Item1'>IAUC 7387</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2000ai"
"claimedtype"	"unk"
"discoverday"	"29"
"discoverer"	"Palomar-Quest"
"discovermonth"	"2"
"discoveryear"	"2000"
"galdec"	"-010538"
"galra"	"120615"
"host"	"A120615-0105"
"maxday"	"29"
"maxmonth"	"2"
"maxyear"	"2000"
"sndec"	"-01:05:38.7"
"snra"	"12:06:15.84"
"photometry"	"timeunit"	"MJD"	"time"	"51603.5"	"abmag"	"20.0"	"source"	"2,1"
