"name"	"SN2013hh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003754.txt'>CBET 3754</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"aliases"	"SN2013hh,PSN J11290437+1714095"
"claimedtype"	"Ia-91T"
"discoverday"	"10"
"discoverer"	"TAROT Calern telescope"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"+171355"
"galra"	"112902"
"host"	"UGC 6483"
"hvel"	"3894"
"maxday"	"10"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.012"
"sndec"	"+17:14:09.5"
"snra"	"11:29:04.37"
"photometry"	"timeunit"	"MJD"	"time"	"56636.5"	"abmag"	"15.9"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56678.488"	"band"	"UV"	"abmag"	"17.4"	"source"	"3,1"
