"name"	"SN2013he"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003750.txt'>CBET 3750</a>"	"alias"	"2"
"source"	"name"	"Paolo Campaner"	"alias"	"3"
"aliases"	"SN2013he,PSN J12530627+364900"
"claimedtype"	"II"
"discoverday"	"8"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"+364907"
"galra"	"125307"
"host"	"NGC 4774"
"hvel"	"8341"
"maxday"	"8"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.027823"
"sndec"	"+36:49:00.1"
"snra"	"12:53:06.27"
"photometry"	"timeunit"	"MJD"	"time"	"56634.5"	"abmag"	"16.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56657.149"	"band"	"U"	"abmag"	"17.3"	"source"	"3,1"
