"name"	"SN2013fj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003654.txt'>CBET 3654</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"source"	"name"	"Gabino Muriel Brillo"	"alias"	"4"
"source"	"name"	"Adolfo San Segundo"	"alias"	"5"
"aliases"	"SN2013fj,PS1-13ddm"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"9"
"discoveryear"	"2013"
"galdec"	"+153408"
"galra"	"221529"
"host"	"CGCG 428-62"
"hvel"	"10029"
"maxday"	"19"
"maxmonth"	"9"
"maxyear"	"2013"
"redshift"	"0.03357"
"sndec"	"+15:34:04.1"
"snra"	"22:15:28.51"
"photometry"	"timeunit"	"MJD"	"time"	"56545.232"	"band"	"L"	"abmag"	"16.8"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56547.936"	"band"	"CR"	"abmag"	"15.81"	"source"	"5,1"
"photometry"	"timeunit"	"MJD"	"time"	"56548.887"	"band"	"CR"	"abmag"	"16.67"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56554.5"	"abmag"	"15.9"	"source"	"2,1"
