"name"	"SN2006sp"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"ESSENCE"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-002752"
"galra"	"011055"
"host"	"A011055-0027"
"hvel"	"158000"
"maxday"	"28"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.8"
"sndec"	"-002752.3"
"snra"	"011055.17"
"photometry"	"timeunit"	"MJD"	"time"	"54063.0"	"band"	"R"	"abmag"	"23.5"	"source"	"1"
