"name"	"SN2003jv"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"ESSENCE"
"discovermonth"	"10"
"discoveryear"	"2003"
"galdec"	"-085711"
"galra"	"232758"
"host"	"A232758-0857"
"hvel"	"97200"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2003"
"redshift"	"0.4"
"sndec"	"-085711.8"
"snra"	"232758.22"
"photometry"	"timeunit"	"MJD"	"time"	"52936.0"	"band"	"R"	"abmag"	"22.2"	"source"	"1"
