"name"	"SN2002dm"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"Sanders"
"discovermonth"	"5"
"discoveryear"	"2002"
"galdec"	"-573519"
"galra"	"203204"
"host"	"IC 5017"
"hvel"	"7547"
"maxday"	"13"
"maxmonth"	"5"
"maxyear"	"2002"
"redshift"	"0.0255"
"sndec"	"-573503.4"
"snra"	"203207.30"
"photometry"	"timeunit"	"MJD"	"time"	"52407.69"	"band"	"V"	"abmag"	"19"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52441.4"	"band"	"B"	"abmag"	"20.35"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52441.4"	"band"	"R"	"abmag"	"19.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52441.4"	"band"	"V"	"abmag"	"19.6"	"source"	"1,2"
