"name"	"SN2007pr"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+001944"
"galra"	"230613"
"host"	"A230613+0019"
"hvel"	"83200"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.33"
"sndec"	"+001944.3"
"snra"	"230613.03"
"photometry"	"timeunit"	"MJD"	"time"	"54393.0"	"band"	"g"	"abmag"	"22.9"	"source"	"1"
