"name"	"SN2009gt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001800/CBET001862.txt'>CBET 1862</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009gt,CSS090625:100407+311229"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2009"
"galdec"	"+311110"
"galra"	"100406"
"host"	"NGC 3106"
"hvel"	"6201"
"maxday"	"24"
"maxmonth"	"6"
"maxyear"	"2009"
"redshift"	"0.0207"
"sndec"	"+31:12:29.3"
"snra"	"10:04:06.78"
"photometry"	"timeunit"	"MJD"	"time"	"55006.5"	"abmag"	"15.5"	"source"	"2,1"
