"name"	"MASTER OT J035309.31-025112.6"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4738'>ATEL 4738</a>"	"alias"	"2"
"aliases"	"MASTER OT J035309.31-025112.6"
"claimedtype"	"unk"
"discoverday"	"13"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2013"
"maxday"	"13"
"maxmonth"	"1"
"maxyear"	"2013"
"sndec"	"-02:51:12.6"
"snra"	"03:53:09.31"
"photometry"	"timeunit"	"MJD"	"time"	"56305.5"	"abmag"	"17.9"	"source"	"2,1"
