"name"	"SN2015aj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004183.txt'>CBET 4183</a>"	"alias"	"2"
"aliases"	"SN2015aj,PSN J06280368+7418338"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"9"
"discoveryear"	"2015"
"galdec"	"+741806"
"galra"	"062800"
"host"	"UGC 3460"
"hvel"	"5255"
"maxday"	"11"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.017652"
"sndec"	"+74:18:33.8"
"snra"	"06:28:03.68"
"photometry"	"timeunit"	"MJD"	"time"	"57276.5"	"abmag"	"17.0"	"source"	"2,1"
