"name"	"SN2014aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003860.txt'>CBET 3860</a>"	"alias"	"2"
"aliases"	"SN2014aq,LSQ14azy"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+120420"
"galra"	"111235"
"host"	"A111235+1204"
"maxday"	"28"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.042"
"sndec"	"+12:04:24.8"
"snra"	"11:12:34.72"
"photometry"	"timeunit"	"MJD"	"time"	"56744.5"	"abmag"	"17.7"	"source"	"2,1"
