"name"	"SN2007ot"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"-001357"
"galra"	"003536"
"host"	"A003536-0013"
"hvel"	"54100"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.2"
"sndec"	"-001357.7"
"snra"	"003536.76"
"photometry"	"timeunit"	"MJD"	"time"	"54385.0"	"band"	"g"	"abmag"	"23.0"	"source"	"1"
