"name"	"OGLE15kq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://ogle.astrouw.edu.pl/ogle4/transients/transients.html'>OGLE page</a>"	"alias"	"2"
"aliases"	"OGLE15kq,OGLE15lf"
"claimedtype"	"unk"
"discoverday"	"29"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"9"
"discoveryear"	"2015"
"host"	"PGC 279945"
"maxday"	"29"
"maxmonth"	"9"
"maxyear"	"2015"
"sndec"	"-69:18:48.9"
"snra"	"04:04:36.74"
"photometry"	"timeunit"	"MJD"	"time"	"57294.5"	"abmag"	"19.5"	"source"	"2,1"
