"name"	"SN2013ai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003431.txt'>CBET 3431</a>"	"alias"	"2"
"aliases"	"SN2013ai,PSN J06161835-2122329"
"claimedtype"	"II"
"discoverday"	"2"
"discoverer"	"E. Conseil"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-212221"
"galra"	"061622"
"host"	"NGC 2207"
"hvel"	"2747"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.009"
"sndec"	"-21:22:32.9"
"snra"	"06:16:18.35"
"photometry"	"timeunit"	"MJD"	"time"	"56353.5"	"abmag"	"16.8"	"source"	"2,1"
