"name"	"SN2013cn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003526.txt'>CBET 3526</a>"	"alias"	"2"
"aliases"	"SN2013cn,PSN J17585034+3400166"
"claimedtype"	"IIP"
"discoverday"	"6"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+340021"
"galra"	"175852"
"host"	"UGC 11076"
"hvel"	"7555"
"maxday"	"6"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.0255"
"sndec"	"+34:00:16.6"
"snra"	"17:58:50.34"
"photometry"	"timeunit"	"MJD"	"time"	"56479.5"	"abmag"	"19.0"	"source"	"2,1"
