"name"	"SN2012K"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002987.txt'>CBET 2987</a>"	"alias"	"2"
"aliases"	"SN2012K,MASTER PGC002065"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+302349"
"galra"	"003430"
"host"	"PGC 2065"
"hvel"	"6087"
"maxday"	"7"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0203"
"sndec"	"+30:24:06.3"
"snra"	"00:34:30.79"
"photometry"	"timeunit"	"MJD"	"time"	"55933.5"	"abmag"	"16.0"	"source"	"2,1"
