"name"	"SN1999ex"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002AJ....124.2100S&amp;db_key=AST'>2002AJ....124.2100S</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"M. Stritzinger et al., 2002, astro-ph/0206438"	"alias"	"4"
"source"	"name"	"VSNET 2001"	"alias"	"5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"6"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07300/07310.html#Item1'>IAUC 7310</a>"	"alias"	"7"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"8"
"aliases"	"SN1999ex"
"claimedtype"	"Ic"
"discoverday"	"31"
"discoverer"	"Perth Astronomical Research Group"
"discovermonth"	"12"
"discoveryear"	"1969"
"galdec"	"-365037"
"galra"	"221609"
"host"	"IC 5179"
"hvel"	"3407"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"1969"
"redshift"	"0.011"
"sndec"	"-36:50:53.7"
"snra"	"22:16:07.27"
"photometry"	"timeunit"	"MJD"	"time"	"40586.5"	"abmag"	"16.2"	"source"	"7,6"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"V"	"abmag"	"20.414"	"aberr"	"0.057"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"R"	"abmag"	"20.164"	"aberr"	"0.064"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"U"	"abmag"	"19.876"	"aberr"	"0.108"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"I"	"abmag"	"19.816"	"aberr"	"0.101"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"B"	"abmag"	"20.626"	"aberr"	"0.058"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"B"	"abmag"	"20.63"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"I"	"abmag"	"19.82"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"R"	"abmag"	"20.16"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"U"	"abmag"	"19.88"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51481.05"	"band"	"V"	"abmag"	"20.41"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.08"	"band"	"U"	"abmag"	"20.687"	"aberr"	"0.204"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.08"	"band"	"B"	"abmag"	"20.689"	"aberr"	"0.109"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.08"	"band"	"B"	"abmag"	"20.69"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.08"	"band"	"U"	"abmag"	"20.69"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"V"	"abmag"	"20.157"	"aberr"	"0.079"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"R"	"abmag"	"19.36"	"aberr"	"0.056"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"U"	"abmag"	"20.5"	"aberr"	"0.163"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"I"	"abmag"	"19.592"	"aberr"	"0.147"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"B"	"abmag"	"20.966"	"aberr"	"0.116"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"B"	"abmag"	"20.97"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"I"	"abmag"	"19.59"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.11"	"band"	"V"	"abmag"	"20.16"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"V"	"abmag"	"19.909"	"aberr"	"0.166"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"R"	"abmag"	"19.489"	"aberr"	"0.08"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"I"	"abmag"	"19.328"	"aberr"	"0.247"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"I"	"abmag"	"19.33"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"R"	"abmag"	"19.49"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.12"	"band"	"V"	"abmag"	"19.91"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"V"	"abmag"	"20.141"	"aberr"	"0.198"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"R"	"abmag"	"19.559"	"aberr"	"0.087"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"I"	"abmag"	"19.316"	"aberr"	"0.314"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"B"	"abmag"	"20.691"	"aberr"	"0.222"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"B"	"abmag"	"20.69"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"I"	"abmag"	"19.32"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"R"	"abmag"	"19.56"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51482.13"	"band"	"V"	"abmag"	"20.14"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51483.15"	"band"	"V"	"abmag"	"19.609"	"aberr"	"0.039"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51483.15"	"band"	"R"	"abmag"	"19.167"	"aberr"	"0.044"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51483.15"	"band"	"I"	"abmag"	"18.99"	"aberr"	"0.051"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51483.15"	"band"	"R"	"abmag"	"19.17"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51483.15"	"band"	"V"	"abmag"	"19.61"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51483.16"	"band"	"V"	"abmag"	"19.673"	"aberr"	"0.036"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51483.16"	"band"	"V"	"abmag"	"19.67"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"V"	"abmag"	"19.058"	"aberr"	"0.019"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"R"	"abmag"	"18.608"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"U"	"abmag"	"20.981"	"aberr"	"0.173"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"I"	"abmag"	"18.51"	"aberr"	"0.033"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"B"	"abmag"	"20.339"	"aberr"	"0.055"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"B"	"abmag"	"20.34"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"R"	"abmag"	"18.61"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"U"	"abmag"	"20.98"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.05"	"band"	"V"	"abmag"	"19.06"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"V"	"abmag"	"18.951"	"aberr"	"0.043"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"R"	"abmag"	"18.569"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"I"	"abmag"	"18.344"	"aberr"	"0.068"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"B"	"abmag"	"20.183"	"aberr"	"0.119"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"B"	"abmag"	"20.18"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"I"	"abmag"	"18.34"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"R"	"abmag"	"18.57"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.08"	"band"	"V"	"abmag"	"18.95"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"V"	"abmag"	"18.922"	"aberr"	"0.054"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"R"	"abmag"	"18.533"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"I"	"abmag"	"18.388"	"aberr"	"0.064"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"B"	"abmag"	"20.058"	"aberr"	"0.107"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"B"	"abmag"	"20.06"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"I"	"abmag"	"18.39"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"R"	"abmag"	"18.53"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51484.09"	"band"	"V"	"abmag"	"18.92"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"V"	"abmag"	"18.461"	"aberr"	"0.019"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"R"	"abmag"	"18.014"	"aberr"	"0.024"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"U"	"abmag"	"20.04"	"aberr"	"0.132"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"I"	"abmag"	"17.969"	"aberr"	"0.034"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"B"	"abmag"	"19.509"	"aberr"	"0.029"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"B"	"abmag"	"19.51"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"I"	"abmag"	"17.97"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"R"	"abmag"	"18.01"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51485.1"	"band"	"V"	"abmag"	"18.46"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"V"	"abmag"	"18.107"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"R"	"abmag"	"17.715"	"aberr"	"0.017"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"U"	"abmag"	"19.248"	"aberr"	"0.041"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"I"	"abmag"	"17.633"	"aberr"	"0.017"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"B"	"abmag"	"18.92"	"aberr"	"0.017"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"I"	"abmag"	"17.63"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"R"	"abmag"	"17.72"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"U"	"abmag"	"19.25"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.04"	"band"	"V"	"abmag"	"18.11"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"V"	"abmag"	"17.988"	"aberr"	"0.028"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"R"	"abmag"	"17.676"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"I"	"abmag"	"17.547"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"B"	"abmag"	"18.928"	"aberr"	"0.044"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"B"	"abmag"	"18.93"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"I"	"abmag"	"17.55"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"R"	"abmag"	"17.68"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.12"	"band"	"V"	"abmag"	"17.99"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"V"	"abmag"	"17.988"	"aberr"	"0.025"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"R"	"abmag"	"17.666"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"I"	"abmag"	"17.601"	"aberr"	"0.041"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"B"	"abmag"	"18.858"	"aberr"	"0.042"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"B"	"abmag"	"18.86"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"I"	"abmag"	"17.6"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"R"	"abmag"	"17.67"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51486.13"	"band"	"V"	"abmag"	"17.99"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51487.0"	"band"	"V"	"abmag"	"17.57"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"V"	"abmag"	"17.791"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"R"	"abmag"	"17.431"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"U"	"abmag"	"18.788"	"aberr"	"0.033"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"I"	"abmag"	"17.354"	"aberr"	"0.019"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"B"	"abmag"	"18.525"	"aberr"	"0.014"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"B"	"abmag"	"18.53"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"I"	"abmag"	"17.35"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"R"	"abmag"	"17.43"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"U"	"abmag"	"18.79"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51487.03"	"band"	"V"	"abmag"	"17.79"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51488.0"	"band"	"V"	"abmag"	"17.57"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51488.03"	"band"	"V"	"abmag"	"17.613"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51488.03"	"band"	"V"	"abmag"	"17.61"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51488.08"	"band"	"V"	"abmag"	"17.547"	"aberr"	"0.017"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51488.08"	"band"	"R"	"abmag"	"17.254"	"aberr"	"0.016"	"source"	"1,2"
