"name"	"PSN J22044374-3313306"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7793'>ATEL 7793</a>"	"alias"	"2"
"aliases"	"PSN J22044374-3313306,MASTER OT J220443.74-331330.6"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"MASTER"
"discovermonth"	"7"
"discoveryear"	"2015"
"host"	"PGC 679288"
"maxday"	"17"
"maxmonth"	"7"
"maxyear"	"2015"
"redshift"	"0.059"
"sndec"	"-33:13:30.6"
"snra"	"22:04:43.74"
"photometry"	"timeunit"	"MJD"	"time"	"57220.5"	"abmag"	"18.3"	"source"	"2,1"
