"name"	"PSN J13275960-1028522"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/tocp.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J13275960-1028522,MLS110430:132800-102852"
"claimedtype"	"unk"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"maxday"	"29"
"maxmonth"	"4"
"maxyear"	"2011"
"sndec"	"-10:28:52.2"
"snra"	"13:27:59.59"
"photometry"	"timeunit"	"MJD"	"time"	"55680.5"	"abmag"	"17.9"	"source"	"2,1"
