"name"	"SN2002df"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"LOTOSS"
"discovermonth"	"6"
"discoveryear"	"2002"
"galdec"	"-045701"
"galra"	"204541"
"host"	"M-01-53-06"
"hvel"	"8600"
"maxday"	"3"
"maxmonth"	"6"
"maxyear"	"2002"
"redshift"	"0.0291"
"sndec"	"-045704.7"
"snra"	"204539.33"
"photometry"	"timeunit"	"MJD"	"time"	"52427.5"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52428.5"	"band"	"C"	"abmag"	"17.1"	"source"	"1,2"
