"name"	"SN2000cl"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"IIn"
"discoverday"	"26"
"discoverer"	"Chassagne"
"discovermonth"	"5"
"discoveryear"	"2000"
"galdec"	"-413742"
"galra"	"103716"
"host"	"NGC 3318"
"hvel"	"2768"
"maxday"	"28"
"maxmonth"	"5"
"maxyear"	"2000"
"redshift"	"0.00928"
"sndec"	"-413747.8"
"snra"	"103716.07"
"photometry"	"timeunit"	"MJD"	"time"	"51690.66"	"band"	"R"	"abmag"	"14.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51691.72"	"band"	"R"	"abmag"	"14.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51692.75"	"band"	"R"	"abmag"	"14.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51694.79"	"band"	"R"	"abmag"	"14.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51697.7"	"band"	"R"	"abmag"	"15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51697.76"	"band"	"R"	"abmag"	"14.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51700.76"	"band"	"R"	"abmag"	"14.8"	"source"	"1,2"
