"name"	"SN1999cs"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"Antezana"
"discovermonth"	"4"
"discoveryear"	"1999"
"galdec"	"-200602"
"galra"	"120425"
"host"	"A120425-2006"
"hvel"	"18000"
"maxday"	"23"
"maxmonth"	"4"
"maxyear"	"1999"
"redshift"	"0.062"
"sndec"	"-200602.0"
"snra"	"120425.27"
"photometry"	"timeunit"	"MJD"	"time"	"51282.0"	"abmag"	"17.5"	"source"	"1"
