"name"	"SN2014ax"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003867.txt'>CBET 3867</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"aliases"	"SN2014ax,PSN J16161816+6406063"
"claimedtype"	"IIP"
"discoverday"	"2"
"discoverer"	"Tom Boles"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"+640609"
"galra"	"161618"
"host"	"UGC 10318"
"hvel"	"9727"
"maxday"	"2"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.0324"
"sndec"	"+64:06:06.3"
"snra"	"16:16:18.16"
"photometry"	"timeunit"	"MJD"	"time"	"56779.5"	"abmag"	"17.6"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56783.39"	"band"	"C"	"abmag"	"18.5"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56784.388"	"band"	"C"	"abmag"	"18.7"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56785.291"	"band"	"C"	"abmag"	"18.7"	"source"	"3,1"
