"name"	"SN2013ah"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003430.txt'>CBET 3430</a>"	"alias"	"2"
"aliases"	"SN2013ah,PSN J09443380+5545444"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"+554547"
"galra"	"094435"
"host"	"UGC 5201"
"hvel"	"7634"
"maxday"	"23"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.0254"
"sndec"	"+55:45:44.4"
"snra"	"09:44:33.80"
"photometry"	"timeunit"	"MJD"	"time"	"56346.5"	"abmag"	"17.6"	"source"	"2,1"
