"name"	"SN2009dk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001766.txt'>CBET 1766</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009dk,CSS090401:113024+021435"
"claimedtype"	"unk"
"discoverday"	"31"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+021435"
"galra"	"113023"
"host"	"A113023+0214"
"hvel"	"24000"
"maxday"	"31"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.08"
"sndec"	"+02:14:35.2"
"snra"	"11:30:23.64"
"photometry"	"timeunit"	"MJD"	"time"	"54921.5"	"abmag"	"19.5"	"source"	"2,1"
