"name"	"SN2012ge"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003293.txt'>CBET 3293</a>"	"alias"	"2"
"aliases"	"SN2012ge,PSN J13144705+5405055"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"+540515"
"galra"	"131447"
"host"	"PGC 3087098"
"hvel"	"9945"
"maxday"	"24"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.03316"
"sndec"	"+54:05:05.5"
"snra"	"13:14:47.05"
"photometry"	"timeunit"	"MJD"	"time"	"56224.5"	"abmag"	"16.5"	"source"	"2,1"
