"name"	"SN2011kj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003983.txt'>CBET 3983</a>"	"alias"	"2"
"aliases"	"SN2011kj,PSN J05112123-2553059"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"-255305"
"galra"	"051121"
"host"	"A051121-2553"
"maxday"	"22"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"-25:53:05.9"
"snra"	"05:11:21.22"
"photometry"	"timeunit"	"MJD"	"time"	"55583.5"	"abmag"	"16.7"	"source"	"2,1"
