"name"	"SN2001ec"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"LOTOSS"
"discovermonth"	"8"
"discoveryear"	"2001"
"galdec"	"+313238"
"galra"	"021200"
"host"	"PGC0074077"
"hvel"	"13600"
"maxday"	"31"
"maxmonth"	"8"
"maxyear"	"2001"
"redshift"	"0.0464"
"sndec"	"+313243.8"
"snra"	"021200.43"
"photometry"	"timeunit"	"MJD"	"time"	"52140.5"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52152.5"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
