"name"	"SN2013bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003466.txt'>CBET 3466</a>"	"alias"	"2"
"aliases"	"SN2013bb,PSN J14121396+1550315"
"claimedtype"	"IIb"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+155031"
"galra"	"141216"
"host"	"NGC 5504"
"hvel"	"5181"
"maxday"	"3"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.0175"
"sndec"	"+15:50:31.5"
"snra"	"14:12:13.96"
"photometry"	"timeunit"	"MJD"	"time"	"56385.5"	"abmag"	"18.0"	"source"	"2,1"
