"name"	"ASASSN-15cb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6990'>ATEL 6990</a>"	"alias"	"2"
"source"	"name"	"Wim Cuppens"	"alias"	"3"
"source"	"name"	"LeenElineDylan(LED)"	"alias"	"4"
"aliases"	"ASASSN-15cb,PS15ee"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"1"
"discoveryear"	"2015"
"host"	"CGCG 42-196"
"maxday"	"28"
"maxmonth"	"1"
"maxyear"	"2015"
"redshift"	"0.04"
"sndec"	"+03:47:49.8"
"snra"	"12:39:50.23"
"photometry"	"timeunit"	"MJD"	"time"	"57050.5"	"abmag"	"16.0"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57051.54"	"band"	"R"	"abmag"	"16.0"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"57108.46"	"band"	"R"	"abmag"	"19.5"	"source"	"4,1"
