"name"	"SN2011im"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002928.txt'>CBET 2928</a>"	"alias"	"2"
"aliases"	"SN2011im,PTF11qnr"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"-000943"
"galra"	"224424"
"host"	"NGC 7364"
"hvel"	"4906"
"maxday"	"7"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.016228"
"sndec"	"-00:10:02.0"
"snra"	"22:44:25.21"
"photometry"	"timeunit"	"MJD"	"time"	"55902.5"	"abmag"	"16.0"	"source"	"2,1"
