"name"	"SN2007qs"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+000530"
"galra"	"031146"
"host"	"A031146+0005"
"hvel"	"74700"
"maxday"	"8"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.29"
"sndec"	"+000530.9"
"snra"	"031146.03"
"photometry"	"timeunit"	"MJD"	"time"	"54408.0"	"band"	"g"	"abmag"	"21.5"	"source"	"1"
