"name"	"SN2014cz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003965.txt'>CBET 3965</a>"	"alias"	"2"
"aliases"	"SN2014cz,PSN J00321454-4122559"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Stu Parker"
"discovermonth"	"9"
"discoveryear"	"2014"
"galdec"	"-412302"
"galra"	"003215"
"host"	"ESO 294-G21"
"hvel"	"7825"
"maxday"	"1"
"maxmonth"	"9"
"maxyear"	"2014"
"redshift"	"0.026"
"sndec"	"-41:22:55.9"
"snra"	"00:32:14.54"
"photometry"	"timeunit"	"MJD"	"time"	"56901.5"	"abmag"	"17.2"	"source"	"2,1"
