"name"	"SN2011do"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002747.txt'>CBET 2747</a>"	"alias"	"2"
"aliases"	"SN2011do,PSN J04254756-6748407"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"Stu Parker"
"discovermonth"	"6"
"discoveryear"	"2011"
"galdec"	"-674853"
"galra"	"042548"
"host"	"ESO 55-G23"
"hvel"	"5514"
"maxday"	"14"
"maxmonth"	"6"
"maxyear"	"2011"
"redshift"	"0.0184"
"sndec"	"-67:48:40.7"
"snra"	"04:25:47.56"
"photometry"	"timeunit"	"MJD"	"time"	"55726.5"	"abmag"	"14.8"	"source"	"2,1"
