"name"	"SN2012ee"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003205.txt'>CBET 3205</a>"	"alias"	"2"
"aliases"	"SN2012ee,PSN J20451528-0537221"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-053722"
"galra"	"204515"
"host"	"IC 5050"
"hvel"	"8073"
"maxday"	"16"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.027"
"sndec"	"-05:37:22.1"
"snra"	"20:45:15.28"
"photometry"	"timeunit"	"MJD"	"time"	"56155.5"	"abmag"	"15.0"	"source"	"2,1"
