"name"	"SN2015az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004200/CBET004208.txt'>CBET 4208</a>"	"alias"	"2"
"source"	"name"	"Kunihiro Shima"	"alias"	"3"
"aliases"	"SN2015az,PSN J03094251+4058293"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"12"
"discoveryear"	"2015"
"galdec"	"+405827"
"galra"	"030943"
"host"	"IC 290"
"hvel"	"6031"
"maxday"	"7"
"maxmonth"	"12"
"maxyear"	"2015"
"redshift"	"0.02"
"sndec"	"+40:58:29.3"
"snra"	"03:09:42.51"
"photometry"	"timeunit"	"MJD"	"time"	"57360.6601"	"band"	"U"	"abmag"	"14.6"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"57363.5"	"abmag"	"14.6"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57364.656"	"band"	"U"	"abmag"	"14.6"	"source"	"3,1"
