"name"	"SN2013bq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003492.txt'>CBET 3492</a>"	"alias"	"2"
"aliases"	"SN2013bq,CSS130415:130408+435408"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+435407"
"galra"	"130408"
"host"	"A130408+4354"
"hvel"	"18000"
"maxday"	"25"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.06"
"sndec"	"+43:54:07.7"
"snra"	"13:04:08.44"
"photometry"	"timeunit"	"MJD"	"time"	"56407.5"	"abmag"	"17.6"	"source"	"2,1"
