"name"	"SN2011fd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002791.txt'>CBET 2791</a>"	"alias"	"2"
"aliases"	"SN2011fd,PSN J06463985+6021028"
"claimedtype"	"IIP"
"discoverday"	"20"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"+602025"
"galra"	"064632"
"host"	"NGC 2273B"
"hvel"	"2101"
"maxday"	"20"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.007"
"sndec"	"+60:21:02.7"
"snra"	"06:46:39.84"
"photometry"	"timeunit"	"MJD"	"time"	"55793.5"	"abmag"	"14.8"	"source"	"2,1"
