"name"	"SN2010ly"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002645.txt'>CBET 2645</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ly,CSS101113:030504-194039"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"-194038"
"galra"	"030503"
"host"	"A030503-1940"
"hvel"	"12000"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2010"
"redshift"	"0.04"
"sndec"	"-19:40:38.8"
"snra"	"03:05:03.56"
"photometry"	"timeunit"	"MJD"	"time"	"55512.5"	"abmag"	"17.8"	"source"	"2,1"
