"name"	"SN2013R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003403.txt'>CBET 3403</a>"	"alias"	"2"
"aliases"	"SN2013R,MASTER OT J093135.12+352342.4"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"+352331"
"galra"	"093135"
"host"	"PGC 82417"
"hvel"	"2100"
"maxday"	"5"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.052"
"sndec"	"+35:23:42.4"
"snra"	"09:31:35.12"
"photometry"	"timeunit"	"MJD"	"time"	"56297.5"	"abmag"	"16.7"	"source"	"2,1"
