"name"	"SN2013fv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003678.txt'>CBET 3678</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"aliases"	"SN2013fv,PSN J03361605+6734157"
"claimedtype"	"II"
"discoverday"	"11"
"discoverer"	"LOSS"
"discovermonth"	"10"
"discoveryear"	"2013"
"galdec"	"+673353"
"galra"	"033614"
"host"	"UGC 2789"
"hvel"	"3135"
"maxday"	"11"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.010457"
"sndec"	"+67:34:15.7"
"snra"	"03:36:16.05"
"photometry"	"timeunit"	"MJD"	"time"	"56576.5"	"abmag"	"17.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56595.355"	"band"	"UV"	"abmag"	"18.2"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56635.299"	"band"	"UV"	"abmag"	"18.5"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56655.21"	"band"	"UV"	"abmag"	"18.3"	"source"	"3,1"
