"name"	"SN2014bz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003932.txt'>CBET 3932</a>"	"alias"	"2"
"aliases"	"SN2014bz,PSN J13560419-4335099"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"E. Conseil"
"discovermonth"	"5"
"discoveryear"	"2014"
"galdec"	"-433432"
"galra"	"135603"
"host"	"PGC 547157"
"hvel"	"6780"
"maxday"	"5"
"maxmonth"	"5"
"maxyear"	"2014"
"redshift"	"0.025"
"sndec"	"-43:35:09.9"
"snra"	"13:56:04.19"
"photometry"	"timeunit"	"MJD"	"time"	"56782.5"	"abmag"	"16.9"	"source"	"2,1"
