"name"	"PS15vg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15vg,iPTF15abz"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"PS1"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.11"
"sndec"	"+54:12:44.2"
"snra"	"11:05:02.41"
"photometry"	"timeunit"	"MJD"	"time"	"57106.5"	"abmag"	"19.5"	"source"	"2,1"
