"name"	"SN2003lw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/08300/08308.html#Item1'>IAUC 8308</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2003lw,GRB 031203"
"claimedtype"	"Ic"
"discoverday"	"14"
"discoverer"	"ESO"
"discovermonth"	"12"
"discoveryear"	"2003"
"galdec"	"-395103"
"galra"	"080230"
"host"	"A080230-3951"
"hvel"	"29800"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2003"
"redshift"	"0.105"
"sndec"	"-39:51:03.19"
"snra"	"08:02:30.238"
"photometry"	"timeunit"	"MJD"	"time"	"52987.5"	"abmag"	"20.5"	"source"	"2,1"
