"name"	"SN2007ou"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"-004933"
"galra"	"022342"
"host"	"A022342-0049"
"hvel"	"31200"
"maxday"	"28"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.11"
"sndec"	"-004933.6"
"snra"	"022342.69"
"photometry"	"timeunit"	"MJD"	"time"	"54385.0"	"band"	"g"	"abmag"	"22.5"	"source"	"1"
