"name"	"SN2011M"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002640.txt'>CBET 2640</a>"	"alias"	"2"
"aliases"	"SN2011M,PSN J05004155+6214386"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+621439"
"galra"	"050044"
"host"	"UGC 3218"
"hvel"	"5223"
"maxday"	"18"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.0174"
"sndec"	"+62:14:38.6"
"snra"	"05:00:41.55"
"photometry"	"timeunit"	"MJD"	"time"	"55579.5"	"abmag"	"16.1"	"source"	"2,1"
