"name"	"SN2013em"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003612.txt'>CBET 3612</a>"	"alias"	"2"
"aliases"	"SN2013em,PSN J23022662+3231312"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+323137"
"galra"	"230227"
"host"	"PGC 214897"
"hvel"	"6597"
"maxday"	"30"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.022"
"sndec"	"+32:31:31.2"
"snra"	"23:02:26.62"
"photometry"	"timeunit"	"MJD"	"time"	"56503.5"	"abmag"	"15.7"	"source"	"2,1"
