"name"	"SN2007mn"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+001028"
"galra"	"020503"
"host"	"A020503+0010"
"hvel"	"24000"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.0835"
"sndec"	"+001028.4"
"snra"	"020503.96"
"photometry"	"timeunit"	"MJD"	"time"	"54382.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
