"name"	"Gaia15agj"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"3"
"discovermonth"	"6"
"discoveryear"	"2015"
"maxday"	"3"
"maxmonth"	"6"
"maxyear"	"2015"
"sndec"	"37.96674"
"snra"	"147.74682"
"photometry"	"timeunit"	"MJD"	"time"	"57176.229"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.47"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57176.303"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.49"	"source"	"1"
