"name"	"SN2002hn"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ic"
"discoverday"	"30"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+335727"
"galra"	"081015"
"host"	"NGC 2532"
"hvel"	"5153"
"maxday"	"5"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.0173"
"sndec"	"+335719.4"
"snra"	"081014.95"
"photometry"	"timeunit"	"MJD"	"time"	"52577.5"	"band"	"C"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52583.5"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52584.5"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
