"name"	"SN2012aw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003054.txt'>CBET 3054</a>"	"alias"	"2"
"aliases"	"SN2012aw,PSN J10435372+1140177"
"claimedtype"	"IIP"
"discoverday"	"21"
"discoverer"	"Paolo Fagotti"
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"+114213"
"galra"	"104358"
"host"	"M95"
"hvel"	"771"
"maxday"	"21"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.002595"
"sndec"	"+11:40:17.7"
"snra"	"10:43:53.72"
"photometry"	"timeunit"	"MJD"	"time"	"56007.5"	"abmag"	"13.0"	"source"	"2,1"
