"name"	"PSN J12553996-3932181"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J12553996-3932181.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J12553996-3932181,SNhunt140"
"claimedtype"	"unk"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2012"
"host"	"ESO 323-G44"
"maxday"	"11"
"maxmonth"	"7"
"maxyear"	"2012"
"sndec"	"-39:32:18.1"
"snra"	"12:55:39.96"
"photometry"	"timeunit"	"MJD"	"time"	"56119.5"	"abmag"	"16.7"	"source"	"2,1"
