"name"	"PS15ad"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15ad,MLS150209:093549+093207"
"discoverday"	"12"
"discoverer"	"PS1"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"12"
"maxmonth"	"2"
"maxyear"	"2015"
"sndec"	"+09:32:06.7"
"snra"	"09:35:49.13"
"photometry"	"timeunit"	"MJD"	"time"	"57065.5"	"abmag"	"20.6"	"source"	"2,1"
