"name"	"SN2012gp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003306.txt'>CBET 3306</a>"	"alias"	"2"
"aliases"	"SN2012gp,PSN J06200624-6457085"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"Stu Parker"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"-645708"
"galra"	"062006"
"host"	"PGC 75651"
"hvel"	"15773"
"maxday"	"19"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.0526"
"sndec"	"-64:57:08.5"
"snra"	"06:20:06.24"
"photometry"	"timeunit"	"MJD"	"time"	"56219.5"	"abmag"	"16.7"	"source"	"2,1"
