"name"	"SN2014aj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003844.txt'>CBET 3844</a>"	"alias"	"2"
"aliases"	"SN2014aj,PSN J05114396+6729294"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"4"
"discoveryear"	"2014"
"galdec"	"+672918"
"galra"	"051146"
"host"	"UGC 3252"
"hvel"	"6121"
"maxday"	"5"
"maxmonth"	"4"
"maxyear"	"2014"
"redshift"	"0.020397"
"sndec"	"+67:29:29.4"
"snra"	"05:11:43.96"
"photometry"	"timeunit"	"MJD"	"time"	"56752.5"	"abmag"	"16.0"	"source"	"2,1"
