"name"	"LSQ15ey"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6994'>ATEL 6994</a>"	"alias"	"2"
"aliases"	"LSQ15ey,PS15ii"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"1"
"discoveryear"	"2015"
"maxday"	"19"
"maxmonth"	"1"
"maxyear"	"2015"
"redshift"	"0.036"
"sndec"	"-07:23:36.8"
"snra"	"14:12:05.08"
"photometry"	"timeunit"	"MJD"	"time"	"57041.5"	"abmag"	"19.2"	"source"	"2,1"
