"name"	"TCP J07461299-5806414"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J07461299-5806414.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"TCP J07461299-5806414,SSS120515:074613-580641"
"claimedtype"	"unk"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"maxday"	"14"
"maxmonth"	"5"
"maxyear"	"2012"
"sndec"	"-58:06:41.4"
"snra"	"07:46:12.99"
"photometry"	"timeunit"	"MJD"	"time"	"56061.5"	"abmag"	"16.4"	"source"	"2,1"
